Start State:
cross section    distance           zbed     leftdam    rightdam  bottomlevel              z          eline              A              Q              C        delta x         
       132             25        28.8188                 0                  0                    0
       133             25        28.8189                 0                  0                    0
       134             25        28.8189                 0                  0                    0
       135             25        28.8189                 0                  0                    0
       136             25        28.8186                 0                  0                    0
       137             25        28.8187                 0                  0                    0
       138             25        28.8176                 0                  0                    0
       139             25        28.8188                 0                  0                    0
       140             25        28.8182                 0                  0                    0
       141             25        28.8161                 0                  0                    0
       142             25        28.8188                 0                  0                    0
       143             25        28.8189                 0                  0                    0
       144             25        28.8189                 0                  0                    0
       145             25        28.8189                 0                  0                    0
       146             25        28.8186                 0                  0                    0
       147             25        28.8187                 0                  0                    0
       148             25        28.8176                 0                  0                    0
       149             25        28.8188                 0                  0                    0
       150             25        28.8182                 0                  0                    0
       151             25        28.8161                 0                  0                    0
       152             25        28.8188                 0                  0                    0
       153             25        28.8189                 0                  0                    0
       154             25        28.8189                 0                  0                    0
       155             25        28.8189                 0                  0                    0
       156             25        28.8186                 0                  0                    0
       157             25        28.8187                 0                  0                    0
       158             25        28.8176                 0                  0                    0
       159             25        28.8188                 0                  0                    0
       160             25        28.8182                 0                  0                    0
       161             25        28.8161                 0                  0                    0
       162             25        28.8188                 0                  0                    0
       163             25        28.8189                 0                  0                    0
       164             25         28.819                 0                  0                    0
       165             25         28.819                 0                  0                    0
       166             25        28.8187                 0                  0                    0
       167             25        28.8188                 0                  0                    0
       168             25        28.8178                 0                  0                    0
       169             25         28.819                 0                  0                    0
       170             25        28.8184                 0                  0                    0
       171             25        28.8163                 0                  0                    0
       172             25        28.8191                 0                  0                    0
       173             25        28.8192                 0                  0                    0
       174             25        28.8193                 0                  0                    0
       175             25        28.8194                 0                  0                    0
       176             25        28.8195                 0                  0                    0
       177             25        28.8196                 0                  0                    0
       178             25        28.8193                 0                  0                    0
       179             25        28.8208                 0                  0                    0
       180             25        28.8198                 0                  0                    0
       181             25         28.818                 0                  0                    0
       182             25        28.8211                 0                  0                    0
       183             25        28.8217                 0                  0                    0
       184             25        28.8223                 0                  0                    0
       185             25        28.8229                 0                  0                    0
       186             25        28.8237                 0                  0                    0
       187             25        28.8246                 0                  0                    0
       188             25        28.8256                 0                  0                    0
       189             25        28.8283                 0                  0                    0
       190             25        28.8287                 0                  0                    0
       191             25        28.8287                 0                  0                    0
       192             25        28.8339                 0                  0                    0
       193             25         28.837                 0                  0                    0
       194             25        28.8407                 0                  0                    0
       195             25        28.8451                 0                  0                    0
       196             25        28.8503                 0                  0                    0
       197             25        28.8565                 0                  0                    0
       198             25        28.8637                 0                  0                    0
       199             25        28.9433                 0                  0                    0
       200             25        28.5347                 0                  0                    0
       201             25        27.9434                 0                  0                    0

 section distance          zbed    leftdam   rightdam    bottomlev.            z        eline             A            Ared            Q          QNum             u         Fr          tau    transpCap            C
   CS000         0           120        130        130           124     121.6489     121.7041       21.9306       21.9306       22.8255       24.1182      1.04081      0.289            0            0            0
   CS001       100         119.9      129.9      129.9         123.9     121.5752     121.6388       22.3655       22.3655            25       24.9999       1.1178      0.308            0            0            0
   CS002       200         119.8      129.8      129.8         123.8     121.4751     121.5388       22.3654       22.3654            25            25       1.1178      0.308            0            0            0
   CS003       300         119.7      129.7      129.7         123.7     121.3751     121.4388       22.3654       22.3654            25            25       1.1178      0.308            0            0            0
   CS004       400         119.6      129.6      129.6         123.6     121.2751     121.3388       22.3654       22.3654            25            25       1.1178      0.308            0            0            0
   CS005       500         119.5      129.5      129.5         123.5     121.1751     121.2388       22.3655       22.3655            25            25      1.11779      0.308            0            0            0
   CS006       600         119.4      129.4      129.4         123.4     121.0751     121.1388       22.3657       22.3657            25       25.0001      1.11778      0.308            0            0            0
   CS007       700         119.3      129.3      129.3         123.3     120.9751     121.0388       22.3658       22.3658            25       24.9999      1.11778      0.308            0            0            0
   CS008       800         119.2      129.2      129.2         123.2     120.8751     120.9388       22.3664       22.3664            25       25.0002      1.11775      0.308            0            0            0
   CS009       900         119.1      129.1      129.1         123.1     120.7751     120.8388       22.3663       22.3663            25       24.9995      1.11775      0.308            0            0            0
   CS010      1000           119        129        129           123     120.6752     120.7389       22.3659       22.3659            25       24.9989      1.11777      0.308            0            0            0
   CS011      1100         118.9      128.9      128.9         122.9     120.5752     120.6388       22.3655       22.3655            25       24.9999       1.1178      0.308            0            0            0
